"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","ID_4","NAME_4","VARNAME_4","TYPE_4","ENGTYPE_4"
1,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",1,"Ambohidratrimo",1,"Ambatolampy",NA,"Fokontany","Commune"
2,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",1,"Ambohidratrimo",2,"Ambato",NA,"Fokontany","Commune"
3,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",1,"Ambohidratrimo",3,"Ambohidratrimo",NA,"Fokontany","Commune"
4,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",1,"Ambohidratrimo",4,"Ambohimanjaka",NA,"Fokontany","Commune"
5,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",1,"Ambohidratrimo",5,"Ambohipihaonana",NA,"Fokontany","Commune"
6,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",1,"Ambohidratrimo",6,"Ambohitrimanjaka",NA,"Fokontany","Commune"
7,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",1,"Ambohidratrimo",7,"Ampangabe",NA,"Fokontany","Commune"
8,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",1,"Ambohidratrimo",8,"Ampanotokana",NA,"Fokontany","Commune"
9,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",1,"Ambohidratrimo",9,"Anjanadoria",NA,"Fokontany","Commune"
10,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",1,"Ambohidratrimo",10,"Anosiala",NA,"Fokontany","Commune"
11,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",1,"Ambohidratrimo",11,"Antanetibe",NA,"Fokontany","Commune"
12,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",1,"Ambohidratrimo",12,"Antehiroka",NA,"Fokontany","Commune"
13,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",1,"Ambohidratrimo",13,"Antsahafilo",NA,"Fokontany","Commune"
14,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",1,"Ambohidratrimo",14,"Avaratsena",NA,"Fokontany","Commune"
15,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",1,"Ambohidratrimo",15,"Fiadanana",NA,"Fokontany","Commune"
16,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",1,"Ambohidratrimo",16,"Iarinarivo",NA,"Fokontany","Commune"
17,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",1,"Ambohidratrimo",17,"Ivato Aeroport",NA,"Fokontany","Commune"
18,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",1,"Ambohidratrimo",18,"Ivato Firaisana",NA,"Fokontany","Commune"
19,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",1,"Ambohidratrimo",19,"Mahabo",NA,"Fokontany","Commune"
20,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",1,"Ambohidratrimo",20,"Mahereza",NA,"Fokontany","Commune"
21,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",1,"Ambohidratrimo",21,"Mahitsy",NA,"Fokontany","Commune"
22,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",1,"Ambohidratrimo",22,"Mananjary",NA,"Fokontany","Commune"
23,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",1,"Ambohidratrimo",23,"Manjakavaradrano",NA,"Fokontany","Commune"
24,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",1,"Ambohidratrimo",24,"Merimandroso",NA,"Fokontany","Commune"
25,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",1,"Ambohidratrimo",25,"Talatamaty",NA,"Fokontany","Commune"
26,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",2,"Andramasina",26,"Alarobia Vatosola",NA,"Fokontany","Commune"
27,134,"MDG","Madagascar",1,"Antananarivo",1,"Analamanga",2,"Andramasina",27,"Alatsinainy Bakaro",NA,"Fokontany","Commune"
